Id,Time,Value
1503960366,4/12/2016 07:00:00 AM,157
1503960366,4/12/2016 07:00:14 AM,259
1503960366,4/12/2016 07:00:51 AM,219
1503960366,4/12/2016 07:00:57 AM,137
1503960366,4/12/2016 07:01:10 AM,131
1503960366,4/12/2016 07:01:43 AM,183
1503960366,4/12/2016 07:01:54 AM,184
1503960366,4/12/2016 07:02:12 AM,169
1503960366,4/12/2016 07:02:35 AM,101
1503960366,4/12/2016 07:02:44 AM,206
1503960366,4/12/2016 07:03:42 AM,170
1503960366,4/12/2016 07:04:38 AM,153
1503960366,4/12/2016 07:05:02 AM,196
1503960366,4/12/2016 07:05:49 AM,166
1503960366,4/12/2016 07:06:09 AM,151
1503960366,4/12/2016 07:06:24 AM,171
1503960366,4/12/2016 07:06:49 AM,177
1503960366,4/12/2016 07:06:58 AM,187
1503960366,4/12/2016 07:07:39 AM,169
1503960366,4/12/2016 07:08:24 AM,191
1503960366,4/12/2016 07:09:08 AM,156
1503960366,4/12/2016 07:09:31 AM,151
1503960366,4/12/2016 07:10:25 AM,196
1503960366,4/12/2016 07:11:10 AM,168
1503960366,4/12/2016 07:11:36 AM,171
1503960366,4/12/2016 07:12:27 AM,155
1503960366,4/12/2016 07:13:13 AM,176
1503960366,4/12/2016 07:13:23 AM,204
1503960366,4/12/2016 07:13:32 AM,154
1503960366,4/12/2016 07:13:46 AM,149
1503960366,4/12/2016 07:14:37 AM,154
1503960366,4/12/2016 07:14:43 AM,188
1503960366,4/12/2016 07:15:39 AM,134
1503960366,4/12/2016 07:16:35 AM,130
1503960366,4/12/2016 07:17:02 AM,189
1503960366,4/12/2016 07:17:49 AM,191
1503960366,4/12/2016 07:18:48 AM,181
1503960366,4/12/2016 07:19:24 AM,196
1503960366,4/12/2016 07:19:44 AM,140
1503960366,4/12/2016 07:20:04 AM,156
1503960366,4/12/2016 07:21:02 AM,178
1503960366,4/12/2016 07:21:26 AM,175
1503960366,4/12/2016 07:22:17 AM,160
1503960366,4/12/2016 07:22:45 AM,196
1503960366,4/12/2016 07:23:26 AM,190
1503960366,4/12/2016 07:23:50 AM,167
1503960366,4/12/2016 07:24:24 AM,149
1503960366,4/12/2016 07:24:59 AM,180
1503960366,4/12/2016 07:25:12 AM,150
1503960366,4/12/2016 07:25:40 AM,157
1503960366,4/12/2016 07:26:21 AM,164
1503960366,4/12/2016 07:27:07 AM,192
1503960366,4/12/2016 07:27:49 AM,168
1503960366,4/12/2016 07:27:57 AM,129
1503960366,4/12/2016 07:28:40 AM,151
1503960366,4/12/2016 07:29:16 AM,170
1503960366,4/12/2016 07:29:21 AM,137
1503960366,4/12/2016 07:29:58 AM,167
1503960366,4/12/2016 07:30:23 AM,106
1503960366,4/12/2016 07:31:22 AM,173
1503960366,4/12/2016 07:31:52 AM,164
1503960366,4/12/2016 07:32:28 AM,173
1503960366,4/12/2016 07:33:01 AM,173
1503960366,4/12/2016 07:33:22 AM,185
1503960366,4/12/2016 07:33:37 AM,138
1503960366,4/12/2016 07:34:26 AM,126
1503960366,4/12/2016 07:34:33 AM,158
1503960366,4/12/2016 07:34:40 AM,138
1503960366,4/12/2016 07:35:24 AM,174
